time,P,G(i),H_sun,T2m,WS10m,Int
20190327:1410,76418000.0,961.11,46.37,18.9,4.48,0.0
20190327:1510,62325000.0,774.13,37.5,19.14,4.34,0.0
20190327:1610,41866000.0,523.12,27.01,18.98,4.28,0.0
20190327:1710,17429000.0,250.9,15.7,18.38,4.14,0.0
20190327:1810,708000.0,19.82,4.04,17.33,3.66,0.0
20190327:1910,0.0,0.0,0.0,15.31,2.97,0.0
20190327:2010,0.0,0.0,0.0,13.91,2.69,0.0
20190327:2110,0.0,0.0,0.0,12.62,2.28,0.0
20190327:2210,0.0,0.0,0.0,11.24,2.14,0.0
20190327:2310,0.0,0.0,0.0,9.96,2.34,0.0
20190328:0010,0.0,0.0,0.0,8.94,2.34,0.0
20190328:0110,0.0,0.0,0.0,7.86,2.21,0.0
20190328:0210,0.0,0.0,0.0,6.82,2.07,0.0
20190328:0310,0.0,0.0,0.0,5.88,2.0,0.0
20190328:0410,0.0,0.0,0.0,5.08,2.07,0.0
20190328:0510,0.0,0.0,0.0,4.38,2.07,0.0
20190328:0610,0.0,0.0,0.0,3.79,2.14,0.0
20190328:0710,15082000.0,209.56,11.22,4.32,2.0,0.0
20190328:0810,39964000.0,479.64,22.74,8.42,2.62,0.0
20190328:0910,61081000.0,734.42,33.66,11.07,3.24,0.0
20190328:1010,75767000.0,933.13,43.34,13.29,3.59,0.0
20190328:1110,85449000.0,1077.45,50.72,15.04,3.66,0.0
20190328:1210,88493000.0,1133.51,54.21,16.51,3.52,0.0
20190328:1310,82357000.0,1053.09,52.67,17.68,3.45,0.0
20190328:1410,74494000.0,944.89,46.66,18.53,3.38,0.0
20190328:1510,60576000.0,757.09,37.74,19.03,3.45,0.0
20190328:1610,40977000.0,514.83,27.22,19.17,3.45,0.0
20190328:1710,17200000.0,248.69,15.88,18.86,3.45,0.0
20190328:1810,797000.0,21.34,4.22,18.02,3.1,0.0
20190328:1910,0.0,0.0,0.0,16.1,2.48,0.0
20190328:2010,0.0,0.0,0.0,14.41,2.97,0.0
20190328:2110,0.0,0.0,0.0,13.07,3.72,0.0
20190328:2210,0.0,0.0,0.0,11.8,3.59,0.0
20190328:2310,0.0,0.0,0.0,10.61,3.17,0.0
20190329:0010,0.0,0.0,0.0,9.58,2.69,0.0
20190329:0110,0.0,0.0,0.0,8.58,2.48,0.0
20190329:0210,0.0,0.0,0.0,7.66,2.48,0.0
20190329:0310,0.0,0.0,0.0,6.87,2.48,0.0
20190329:0410,0.0,0.0,0.0,6.11,2.41,0.0
20190329:0510,0.0,0.0,0.0,5.35,2.28,0.0
20190329:0610,0.0,0.0,0.0,4.6,2.21,0.0
20190329:0710,15329000.0,213.58,11.53,4.79,1.93,0.0
20190329:0810,39744000.0,478.18,23.05,8.72,2.41,0.0
20190329:0910,60424000.0,727.99,33.99,11.23,3.03,0.0
20190329:1010,68791000.0,846.7,43.71,13.3,3.03,0.0
20190329:1110,81785000.0,1040.19,51.11,15.07,2.76,0.0
20190329:1210,87866000.0,1141.22,54.6,16.55,2.62,0.0
20190329:1310,83339000.0,1081.42,53.03,17.64,2.55,0.0
20190329:1410,74163000.0,951.62,46.95,18.32,2.41,0.0
20190329:1510,60309000.0,762.1,37.98,18.65,2.21,0.0
20190329:1610,40360000.0,510.96,27.42,18.63,2.0,0.0
20190329:1710,16941000.0,245.58,16.07,18.29,1.86,0.0
20190329:1810,855000.0,22.14,4.4,17.61,1.66,0.0
20190329:1910,0.0,0.0,0.0,16.16,1.24,0.0
20190329:2010,0.0,0.0,0.0,14.31,1.17,0.0
20190329:2110,0.0,0.0,0.0,12.57,1.31,0.0
20190329:2210,0.0,0.0,0.0,10.64,1.72,0.0
20190329:2310,0.0,0.0,0.0,9.39,1.93,0.0
20190330:0010,0.0,0.0,0.0,8.55,1.79,0.0
20190330:0110,0.0,0.0,0.0,7.9,1.52,0.0
20190330:0210,0.0,0.0,0.0,7.43,1.38,0.0
20190330:0310,0.0,0.0,0.0,6.84,1.38,0.0
20190330:0410,0.0,0.0,0.0,6.3,1.52,0.0
20190330:0510,0.0,0.0,0.0,5.8,1.59,0.0
20190330:0610,0.0,0.0,0.0,5.16,1.79,0.0
20190330:0710,13570000.0,188.96,11.84,6.13,1.31,0.0
20190330:0810,30665000.0,373.83,23.37,10.18,1.59,0.0
20190330:0910,57898000.0,708.16,34.32,12.86,2.14,0.0
20190330:1010,72589000.0,911.13,44.07,14.91,2.41,0.0
20190330:1110,80820000.0,1038.36,51.5,16.78,2.55,0.0
20190330:1210,84695000.0,1111.79,55.0,18.09,2.21,0.0
20190330:1310,76662000.0,1006.81,53.38,18.94,1.72,0.0
20190330:1410,63273000.0,817.59,47.24,19.44,1.45,0.0
20190330:1510,45397000.0,575.5,38.22,19.49,1.31,0.0
20190330:1610,12610000.0,170.05,27.63,19.47,1.24,0.0
20190330:1710,9941000.0,141.5,16.26,19.19,1.24,0.0
20190330:1810,830000.0,21.63,4.58,18.86,1.03,0.0
20190330:1910,0.0,0.0,0.0,17.46,1.45,0.0
20190330:2010,0.0,0.0,0.0,15.66,1.79,0.0
20190330:2110,0.0,0.0,0.0,14.53,1.79,0.0
20190330:2210,0.0,0.0,0.0,13.26,1.86,0.0
20190330:2310,0.0,0.0,0.0,12.11,1.52,0.0
20190331:0010,0.0,0.0,0.0,11.29,1.24,0.0
20190331:0110,0.0,0.0,0.0,11.03,0.97,0.0
20190331:0210,0.0,0.0,0.0,10.77,0.9,0.0
20190331:0310,0.0,0.0,0.0,10.52,0.55,0.0
20190331:0410,0.0,0.0,0.0,10.08,0.41,0.0
20190331:0510,0.0,0.0,0.0,9.52,0.62,0.0
20190331:0610,0.0,0.0,0.0,8.77,0.76,0.0
20190331:0710,3857000.0,60.7,12.14,9.14,0.48,0.0
20190331:0810,24001000.0,296.96,23.68,10.48,0.62,0.0
20190331:0910,25505000.0,314.74,34.66,11.47,0.62,0.0
20190331:1010,12665000.0,165.93,44.43,12.61,0.83,0.0
20190331:1110,24611000.0,307.24,51.89,13.48,1.1,0.0
20190331:1210,24051000.0,300.66,55.39,14.17,1.72,0.0
20190331:1310,45697000.0,558.88,53.73,14.0,2.69,0.0
20190331:1410,19426000.0,244.55,47.53,13.86,2.97,0.0
20190331:1510,29467000.0,359.73,38.45,13.1,3.03,0.0
20190331:1610,23791000.0,295.14,27.83,13.2,2.69,0.0
20190331:1710,13044000.0,178.99,16.44,12.75,2.97,0.0
20190331:1810,959000.0,23.25,4.76,12.11,3.03,0.0
20190331:1910,0.0,0.0,0.0,11.24,2.69,0.0
20190331:2010,0.0,0.0,0.0,10.97,2.21,0.0
20190331:2110,0.0,0.0,0.0,10.62,1.72,0.0
20190331:2210,0.0,0.0,0.0,10.13,1.45,0.0
20190331:2310,0.0,0.0,0.0,9.58,1.17,0.0
20190401:0010,0.0,0.0,0.0,8.81,0.9,0.0
20190401:0110,0.0,0.0,0.0,8.88,0.76,0.0
20190401:0210,0.0,0.0,0.0,8.42,0.9,0.0
20190401:0310,0.0,0.0,0.0,7.95,1.1,0.0
20190401:0410,0.0,0.0,0.0,7.94,1.1,0.0
20190401:0510,0.0,0.0,0.0,7.82,1.17,0.0
20190401:0610,0.0,0.0,0.0,8.16,1.1,0.0
20190401:0710,2443000.0,42.64,12.44,8.18,0.69,0.0
20190401:0810,6219000.0,88.99,23.99,9.72,0.9,0.0
20190401:0910,5565000.0,81.58,34.99,10.88,1.24,0.0
20190401:1010,8753000.0,119.58,44.79,11.98,1.66,0.0
20190401:1110,28662000.0,354.11,52.27,13.27,1.66,0.0
20190401:1210,57435000.0,716.71,55.78,14.17,1.66,0.0
20190401:1310,22148000.0,279.3,54.08,15.12,1.72,0.0
20190401:1410,69283000.0,876.83,47.82,16.13,2.07,0.0
20190401:1510,18173000.0,232.8,38.69,16.42,2.41,0.0
20190401:1610,2214000.0,40.79,28.03,15.75,3.03,0.0
20190401:1710,15559000.0,217.45,16.62,13.32,3.1,0.0
20190401:1810,482000.0,16.69,4.94,13.16,2.14,0.0
20190401:1910,0.0,0.0,0.0,11.43,1.24,0.0
20190401:2010,0.0,0.0,0.0,10.88,1.1,0.0
20190401:2110,0.0,0.0,0.0,10.16,1.24,0.0
20190401:2210,0.0,0.0,0.0,9.48,1.38,0.0
20190401:2310,0.0,0.0,0.0,8.79,1.45,0.0
20190402:0010,0.0,0.0,0.0,8.34,1.52,0.0
20190402:0110,0.0,0.0,0.0,8.04,1.38,0.0
20190402:0210,0.0,0.0,0.0,8.07,1.24,0.0
20190402:0310,0.0,0.0,0.0,8.06,1.17,0.0
20190402:0410,0.0,0.0,0.0,7.78,1.17,0.0
20190402:0510,0.0,0.0,0.0,7.52,1.17,0.0
20190402:0610,0.0,0.0,0.0,7.53,1.03,0.0
20190402:0710,12586000.0,175.09,12.75,8.76,1.24,0.0
20190402:0810,16213000.0,204.56,24.3,10.13,1.59,0.0
20190402:0910,52661000.0,642.81,35.31,11.22,1.31,0.0
20190402:1010,24468000.0,303.56,45.14,12.69,1.45,0.0
20190402:1110,36084000.0,445.43,52.66,14.27,1.66,0.0
20190402:1210,28028000.0,350.0,56.17,15.52,1.86,0.0
20190402:1310,52472000.0,655.27,54.43,16.31,2.07,0.0
20190402:1410,50784000.0,632.63,48.1,16.92,2.28,0.0
20190402:1510,14360000.0,188.48,38.92,17.22,2.62,0.0
20190402:1610,29348000.0,366.61,28.23,16.73,2.97,0.0
20190402:1710,16022000.0,228.96,16.81,16.49,3.17,0.0
20190402:1810,478000.0,16.53,5.12,15.7,2.76,0.0
20190402:1910,0.0,0.0,0.0,14.52,2.14,0.0
20190402:2010,0.0,0.0,0.0,13.36,1.72,0.0
20190402:2110,0.0,0.0,0.0,12.16,1.52,0.0
20190402:2210,0.0,0.0,0.0,10.92,1.38,0.0
20190402:2310,0.0,0.0,0.0,10.3,1.31,0.0
20190403:0010,0.0,0.0,0.0,9.78,1.31,0.0
20190403:0110,0.0,0.0,0.0,9.05,1.38,0.0
20190403:0210,0.0,0.0,0.0,8.1,1.66,0.0
20190403:0310,0.0,0.0,0.0,7.31,1.79,0.0
20190403:0410,0.0,0.0,0.0,6.79,1.79,0.0
20190403:0510,0.0,0.0,0.0,6.53,1.79,0.0
20190403:0610,0.0,0.0,0.0,6.08,1.72,0.0
20190403:0710,16325000.0,227.76,13.05,7.53,1.17,0.0
20190403:0810,39916000.0,487.29,24.61,11.15,1.86,0.0
20190403:0910,60332000.0,735.69,35.64,13.21,2.76,0.0
20190403:1010,75990000.0,939.45,45.5,14.82,3.86,0.0
20190403:1110,85258000.0,1066.95,53.04,16.0,4.55,0.0
20190403:1210,88868000.0,1118.54,56.56,16.93,4.97,0.0
20190403:1310,84534000.0,1057.25,54.77,17.58,5.38,0.0
20190403:1410,75270000.0,929.82,48.38,17.87,5.66,0.0
20190403:1510,60944000.0,742.89,39.15,17.64,5.79,0.0
20190403:1610,40909000.0,503.62,28.42,16.89,5.66,0.0
20190403:1710,16922000.0,242.16,16.99,15.72,5.31,0.0
20190403:1810,537000.0,17.16,5.3,14.31,4.41,0.0
20190403:1910,0.0,0.0,0.0,12.9,3.72,0.0
20190403:2010,0.0,0.0,0.0,11.63,3.31,0.0
20190403:2110,0.0,0.0,0.0,10.6,3.03,0.0
20190403:2210,0.0,0.0,0.0,9.61,2.76,0.0
20190403:2310,0.0,0.0,0.0,8.63,2.48,0.0
20190404:0010,0.0,0.0,0.0,7.66,2.28,0.0
20190404:0110,0.0,0.0,0.0,6.73,2.14,0.0
20190404:0210,0.0,0.0,0.0,5.76,2.0,0.0
20190404:0310,0.0,0.0,0.0,4.81,1.93,0.0
20190404:0410,0.0,0.0,0.0,4.33,2.28,0.0
20190404:0510,0.0,0.0,0.0,3.98,2.48,0.0
20190404:0610,0.0,0.0,0.0,3.57,2.48,0.0
20190404:0710,17049000.0,233.21,13.34,4.46,2.14,0.0
20190404:0810,42625000.0,504.72,24.92,6.73,3.31,0.0
20190404:0910,63291000.0,753.65,35.97,8.54,3.03,0.0
20190404:1010,77873000.0,964.9,45.85,10.3,2.14,0.0
20190404:1110,83609000.0,1094.43,53.42,11.78,0.76,0.0
20190404:1210,85539000.0,1149.14,56.94,13.1,0.41,0.0
20190404:1310,83438000.0,1089.31,55.12,14.38,1.38,0.0
20190404:1410,75441000.0,957.7,48.66,15.34,2.14,0.0
20190404:1510,61523000.0,761.14,39.38,15.84,2.83,0.0
20190404:1610,41246000.0,510.66,28.62,15.83,3.45,0.0
20190404:1710,17176000.0,247.06,17.17,15.29,3.86,0.0
20190404:1810,714000.0,19.68,5.48,14.27,3.66,0.0
20190404:1910,0.0,0.0,0.0,12.64,2.97,0.0
20190404:2010,0.0,0.0,0.0,11.24,2.41,0.0
20190404:2110,0.0,0.0,0.0,9.92,2.14,0.0
20190404:2210,0.0,0.0,0.0,8.93,2.28,0.0
20190404:2310,0.0,0.0,0.0,8.3,2.9,0.0
20190405:0010,0.0,0.0,0.0,7.71,3.31,0.0
20190405:0110,0.0,0.0,0.0,7.34,3.1,0.0
20190405:0210,0.0,0.0,0.0,7.0,2.76,0.0
20190405:0310,0.0,0.0,0.0,6.7,2.62,0.0
20190405:0410,0.0,0.0,0.0,6.31,2.97,0.0
20190405:0510,0.0,0.0,0.0,5.3,4.14,0.0
20190405:0610,0.0,0.0,0.0,4.82,3.72,0.0
20190405:0710,1283000.0,26.88,13.64,5.47,3.66,0.0
20190405:0810,6041000.0,85.28,25.22,5.72,3.1,0.0
20190405:0910,8941000.0,118.65,36.29,6.19,3.03,0.0
20190405:1010,8839000.0,117.73,46.2,6.67,3.03,0.0
20190405:1110,11599000.0,149.25,53.8,7.24,3.24,0.0
20190405:1210,8235000.0,111.24,57.33,7.68,3.59,0.0
20190405:1310,52164000.0,621.09,55.46,8.6,3.17,0.0
20190405:1410,54033000.0,632.36,48.94,7.6,4.83,0.0
20190405:1510,56938000.0,668.55,39.6,8.07,4.28,0.0
20190405:1610,36784000.0,438.01,28.81,8.65,4.48,0.0
20190405:1710,17514000.0,244.24,17.35,9.03,5.03,0.0
20190405:1810,386000.0,13.79,5.65,8.49,4.97,0.0
20190405:1910,0.0,0.0,0.0,7.32,4.34,0.0
20190405:2010,0.0,0.0,0.0,6.46,4.07,0.0
20190405:2110,0.0,0.0,0.0,5.73,4.14,0.0
20190405:2210,0.0,0.0,0.0,5.13,4.83,0.0
20190405:2310,0.0,0.0,0.0,4.69,4.55,0.0
20190406:0010,0.0,0.0,0.0,4.46,4.21,0.0
20190406:0110,0.0,0.0,0.0,4.16,3.79,0.0
20190406:0210,0.0,0.0,0.0,4.09,3.93,0.0
20190406:0310,0.0,0.0,0.0,4.01,3.79,0.0
20190406:0410,0.0,0.0,0.0,4.16,4.0,0.0
20190406:0510,0.0,0.0,0.0,4.18,4.21,0.0
20190406:0610,0.0,0.0,0.0,4.14,4.07,0.0
20190406:0710,8676000.0,117.55,13.93,4.27,4.41,0.0
20190406:0810,6708000.0,92.7,25.52,5.37,5.03,0.0
20190406:0910,44257000.0,513.11,36.61,6.1,4.62,0.0
20190406:1010,68021000.0,798.72,46.55,7.25,4.76,0.0
20190406:1110,46043000.0,541.36,54.18,8.29,4.83,0.0
20190406:1210,36505000.0,433.52,57.71,9.37,4.9,0.0
20190406:1310,87097000.0,1052.67,55.8,10.07,5.1,0.0
20190406:1410,5707000.0,82.5,49.21,9.48,5.52,0.0
20190406:1510,16427000.0,204.21,39.82,8.77,5.17,0.0
20190406:1610,26840000.0,323.68,29.01,9.85,5.24,0.0
20190406:1710,8936000.0,121.14,17.52,9.25,5.52,0.0
20190406:1810,1283000.0,27.1,5.83,7.74,4.97,0.0
20190406:1910,0.0,0.0,0.0,5.68,3.66,0.0
20190406:2010,0.0,0.0,0.0,5.35,3.66,0.0
20190406:2110,0.0,0.0,0.0,5.37,3.93,0.0
20190406:2210,0.0,0.0,0.0,5.06,3.93,0.0
20190406:2310,0.0,0.0,0.0,4.51,3.72,0.0
20190407:0010,0.0,0.0,0.0,4.19,3.79,0.0
20190407:0110,0.0,0.0,0.0,4.04,4.0,0.0
20190407:0210,0.0,0.0,0.0,4.15,4.07,0.0
20190407:0310,0.0,0.0,0.0,4.5,4.28,0.0
20190407:0410,0.0,0.0,0.0,4.66,4.62,0.0
20190407:0510,0.0,0.0,0.0,4.72,5.17,0.0
20190407:0610,0.0,4.63,2.54,4.63,4.9,0.0
20190407:0710,9229000.0,124.88,14.23,5.16,3.17,0.0
20190407:0810,27338000.0,325.29,25.82,6.27,3.52,0.0
20190407:0910,33850000.0,398.79,36.92,7.18,3.59,0.0
20190407:1010,30783000.0,365.54,46.89,8.06,4.34,0.0
20190407:1110,23205000.0,281.13,54.56,9.1,5.03,0.0
20190407:1210,55293000.0,655.0,58.09,9.54,4.83,0.0
20190407:1310,21627000.0,264.54,56.13,9.96,4.62,0.0
20190407:1410,21448000.0,262.39,49.48,9.75,4.28,0.0
20190407:1510,26712000.0,321.82,40.05,9.41,3.66,0.0
20190407:1610,14529000.0,183.87,29.2,9.37,3.38,0.0
20190407:1710,9034000.0,122.79,17.7,9.25,2.41,0.0
20190407:1810,1461000.0,29.73,6.0,9.06,2.62,0.0
20190407:1910,0.0,0.0,0.0,9.64,3.03,0.0
20190407:2010,0.0,0.0,0.0,9.39,2.97,0.0
20190407:2110,0.0,0.0,0.0,9.15,2.62,0.0
20190407:2210,0.0,0.0,0.0,8.84,2.41,0.0
20190407:2310,0.0,0.0,0.0,8.83,2.28,0.0
20190408:0010,0.0,0.0,0.0,8.86,2.55,0.0
20190408:0110,0.0,0.0,0.0,8.79,2.69,0.0
20190408:0210,0.0,0.0,0.0,8.66,3.24,0.0
20190408:0310,0.0,0.0,0.0,8.67,3.31,0.0
20190408:0410,0.0,0.0,0.0,8.66,3.38,0.0
20190408:0510,0.0,0.0,0.0,8.69,2.9,0.0
20190408:0610,0.0,1.85,2.83,8.57,2.83,0.0
20190408:0710,9560000.0,130.86,14.52,8.83,3.17,0.0
20190408:0810,32892000.0,393.06,26.12,8.97,3.86,0.0
20190408:0910,32034000.0,383.52,37.24,9.5,2.83,0.0
20190408:1010,12184000.0,157.59,47.23,9.66,2.69,0.0
20190408:1110,61301000.0,744.98,54.93,10.36,2.48,0.0
20190408:1210,14658000.0,188.18,58.47,12.51,2.55,0.0
20190408:1310,44069000.0,532.46,56.46,11.55,2.83,0.0
20190408:1410,46799000.0,565.41,49.75,11.98,2.9,0.0
20190408:1510,30777000.0,374.32,40.26,12.76,3.31,0.0
20190408:1610,13112000.0,170.3,29.38,12.97,3.59,0.0
20190408:1710,5064000.0,76.01,17.88,12.87,3.52,0.0
20190408:1810,1435000.0,29.73,6.18,12.4,3.24,0.0
20190408:1910,0.0,0.0,0.0,10.69,2.21,0.0
20190408:2010,0.0,0.0,0.0,10.1,2.07,0.0
20190408:2110,0.0,0.0,0.0,9.21,2.21,0.0
20190408:2210,0.0,0.0,0.0,8.45,2.69,0.0
20190408:2310,0.0,0.0,0.0,7.82,2.76,0.0
20190409:0010,0.0,0.0,0.0,7.36,2.76,0.0
20190409:0110,0.0,0.0,0.0,6.68,2.69,0.0
20190409:0210,0.0,0.0,0.0,6.26,2.69,0.0
20190409:0310,0.0,0.0,0.0,5.67,2.62,0.0
20190409:0410,0.0,0.0,0.0,5.15,2.48,0.0
20190409:0510,0.0,0.0,0.0,4.59,2.28,0.0
20190409:0610,206000.0,10.44,3.12,4.21,2.28,0.0
20190409:0710,11869000.0,158.06,14.8,5.99,3.59,0.0
20190409:0810,34027000.0,402.71,26.41,7.28,4.14,0.0
20190409:0910,51123000.0,599.02,37.55,8.34,4.48,0.0
20190409:1010,63032000.0,743.8,47.57,9.58,5.38,0.0
20190409:1110,26802000.0,323.34,55.3,10.62,6.0,0.0
20190409:1210,90244000.0,1091.81,58.85,11.28,6.14,0.0
20190409:1310,80311000.0,971.54,56.8,12.29,5.72,0.0
20190409:1410,76013000.0,915.67,50.02,12.83,5.66,0.0
20190409:1510,29793000.0,360.15,40.48,12.75,5.72,0.0
20190409:1610,20839000.0,257.96,29.57,12.6,6.0,0.0
20190409:1710,12139000.0,163.12,18.05,11.91,5.45,0.0
20190409:1810,1829000.0,34.97,6.35,11.23,4.69,0.0
20190409:1910,0.0,0.0,0.0,10.35,4.48,0.0
20190409:2010,0.0,0.0,0.0,9.55,4.0,0.0
20190409:2110,0.0,0.0,0.0,8.87,4.0,0.0
20190409:2210,0.0,0.0,0.0,8.34,3.79,0.0
20190409:2310,0.0,0.0,0.0,7.58,3.59,0.0
20190410:0010,0.0,0.0,0.0,7.13,3.52,0.0
20190410:0110,0.0,0.0,0.0,6.47,3.38,0.0
20190410:0210,0.0,0.0,0.0,6.01,3.31,0.0
20190410:0310,0.0,0.0,0.0,5.6,3.24,0.0
20190410:0410,0.0,0.0,0.0,5.34,3.31,0.0
20190410:0510,0.0,0.0,0.0,5.01,3.31,0.0
20190410:0610,410000.0,14.1,3.41,4.94,3.31,0.0
20190410:0710,11591000.0,154.1,15.09,6.17,4.0,0.0
20190410:0810,34555000.0,407.41,26.7,6.99,4.69,0.0
20190410:0910,58011000.0,679.56,37.86,8.37,4.76,0.0
20190410:1010,53584000.0,633.18,47.91,9.68,4.76,0.0
20190410:1110,48411000.0,574.63,55.67,10.41,4.97,0.0
20190410:1210,77418000.0,934.5,59.22,11.32,5.31,0.0
20190410:1310,84064000.0,1021.32,57.12,11.89,5.31,0.0
20190410:1410,72302000.0,872.91,50.28,12.79,5.1,0.0
20190410:1510,47772000.0,572.76,40.7,13.53,5.1,0.0
20190410:1610,40670000.0,494.8,29.76,13.66,5.17,0.0
20190410:1710,15062000.0,206.39,18.22,13.1,5.17,0.0
20190410:1810,17000.0,6.12,6.53,11.73,4.0,0.0
20190410:1910,0.0,0.0,0.0,11.02,3.52,0.0
20190410:2010,0.0,0.0,0.0,9.3,2.21,0.0
20190410:2110,0.0,0.0,0.0,8.73,1.31,0.0
20190410:2210,0.0,0.0,0.0,7.45,1.52,0.0
20190410:2310,0.0,0.0,0.0,6.72,1.38,0.0
20190411:0010,0.0,0.0,0.0,6.57,1.24,0.0
20190411:0110,0.0,0.0,0.0,6.23,1.1,0.0
20190411:0210,0.0,0.0,0.0,5.56,1.17,0.0
20190411:0310,0.0,0.0,0.0,4.83,1.31,0.0
20190411:0410,0.0,0.0,0.0,4.29,1.31,0.0
20190411:0510,0.0,0.0,0.0,3.98,1.31,0.0
20190411:0610,565000.0,17.19,3.69,3.75,1.24,0.0
20190411:0710,18444000.0,251.37,15.37,5.71,0.62,0.0
20190411:0810,42945000.0,520.09,26.99,8.73,1.45,0.0
20190411:0910,63455000.0,768.08,38.16,10.46,2.41,0.0
20190411:1010,76316000.0,948.69,48.24,11.89,2.34,0.0
20190411:1110,81336000.0,1033.32,56.04,12.83,2.07,0.0
20190411:1210,79041000.0,1011.26,59.59,13.94,1.93,0.0
20190411:1310,61326000.0,767.39,57.45,14.68,2.0,0.0
20190411:1410,45028000.0,555.35,50.54,15.05,2.21,0.0
20190411:1510,48228000.0,594.12,40.91,15.35,2.34,0.0
20190411:1610,35634000.0,442.3,29.94,15.25,2.62,0.0
20190411:1710,12845000.0,175.53,18.4,14.69,2.76,0.0
20190411:1810,2003000.0,37.59,6.7,13.22,2.69,0.0
20190411:1910,0.0,0.0,0.0,12.28,2.34,0.0
20190411:2010,0.0,0.0,0.0,11.01,2.21,0.0
20190411:2110,0.0,0.0,0.0,9.78,2.0,0.0
20190411:2210,0.0,0.0,0.0,8.35,1.66,0.0
20190411:2310,0.0,0.0,0.0,7.93,1.31,0.0
20190412:0010,0.0,0.0,0.0,8.52,1.1,0.0
20190412:0110,0.0,0.0,0.0,7.88,1.17,0.0
20190412:0210,0.0,0.0,0.0,6.93,1.31,0.0
20190412:0310,0.0,0.0,0.0,5.7,1.52,0.0
20190412:0410,0.0,0.0,0.0,4.75,1.72,0.0
20190412:0510,0.0,0.0,0.0,4.56,1.59,0.0
20190412:0610,739000.0,19.89,3.97,4.27,1.45,0.0
20190412:0710,18837000.0,257.13,15.65,6.6,0.62,0.0
20190412:0810,42422000.0,516.38,27.28,9.43,1.24,0.0
20190412:0910,62138000.0,765.19,38.46,11.56,1.52,0.0
20190412:1010,76411000.0,968.94,48.57,13.23,1.66,0.0
20190412:1110,84452000.0,1093.67,56.4,14.36,1.79,0.0
20190412:1210,0.0,0.0,0.0,15.29,1.86,0.0
20190412:1310,83283000.0,1082.54,57.77,16.18,2.0,0.0
20190412:1410,74297000.0,949.67,50.8,16.88,2.14,0.0
20190412:1510,60443000.0,757.84,41.12,17.31,2.28,0.0
20190412:1610,40447000.0,508.77,30.13,17.41,2.48,0.0
20190412:1710,16850000.0,249.07,18.57,17.06,2.62,0.0
20190412:1810,1780000.0,34.97,6.87,16.1,2.14,0.0
20190412:1910,0.0,0.0,0.0,14.35,2.21,0.0
20190412:2010,0.0,0.0,0.0,12.71,2.28,0.0
20190412:2110,0.0,0.0,0.0,11.49,2.21,0.0
20190412:2210,0.0,0.0,0.0,10.44,2.21,0.0
20190412:2310,0.0,0.0,0.0,9.43,2.14,0.0
20190413:0010,0.0,0.0,0.0,8.51,2.0,0.0
20190413:0110,0.0,0.0,0.0,8.46,1.66,0.0
20190413:0210,0.0,0.0,0.0,9.56,1.31,0.0
20190413:0310,0.0,0.0,0.0,10.71,0.97,0.0
20190413:0410,0.0,0.0,0.0,10.41,0.97,0.0
20190413:0510,0.0,0.0,0.0,9.59,1.17,0.0
20190413:0610,828000.0,21.83,4.25,8.72,1.31,0.0
20190413:0710,18657000.0,257.48,15.93,9.37,0.83,0.0
20190413:0810,41924000.0,518.94,27.56,12.34,0.97,0.0
20190413:0910,61520000.0,771.33,38.76,14.63,1.31,0.0
20190413:1010,73966000.0,950.57,48.9,16.36,1.66,0.0
20190413:1110,83474000.0,1099.0,56.76,17.41,1.72,0.0
20190413:1210,85411000.0,1140.31,60.33,18.31,1.59,0.0
20190413:1310,81846000.0,1089.9,58.09,19.04,1.52,0.0
20190413:1410,73030000.0,950.02,51.06,19.63,1.86,0.0
20190413:1510,59240000.0,749.41,41.33,19.96,2.55,0.0
20190413:1610,39691000.0,503.27,30.31,19.83,3.03,0.0
20190413:1710,16331000.0,241.94,18.74,19.35,3.1,0.0
20190413:1810,1634000.0,33.22,7.05,18.37,2.55,0.0
20190413:1910,0.0,0.0,0.0,16.6,2.34,0.0
20190413:2010,0.0,0.0,0.0,14.85,2.14,0.0
20190413:2110,0.0,0.0,0.0,13.33,1.93,0.0
20190413:2210,0.0,0.0,0.0,11.94,1.86,0.0
20190413:2310,0.0,0.0,0.0,10.77,1.79,0.0
20190414:0010,0.0,0.0,0.0,9.83,1.79,0.0
20190414:0110,0.0,0.0,0.0,9.25,1.79,0.0
20190414:0210,0.0,0.0,0.0,8.74,1.72,0.0
20190414:0310,0.0,0.0,0.0,8.3,1.66,0.0
20190414:0410,0.0,0.0,0.0,7.83,1.59,0.0
20190414:0510,0.0,0.0,0.0,7.69,1.52,0.0
20190414:0610,687000.0,18.71,4.53,8.01,1.24,0.0
20190414:0710,17418000.0,240.59,16.2,10.56,0.62,0.0
20190414:0810,38825000.0,480.87,27.84,13.06,1.03,0.0
20190414:0910,57632000.0,718.62,39.06,15.32,1.59,0.0
20190414:1010,72153000.0,918.64,49.22,17.58,2.34,0.0
20190414:1110,60746000.0,769.99,57.11,19.0,2.62,0.0
20190414:1210,72979000.0,943.19,60.69,20.34,2.83,0.0
20190414:1310,74928000.0,968.93,58.41,20.5,2.9,0.0
20190414:1410,66435000.0,848.96,51.31,20.81,2.9,0.0
20190414:1510,55337000.0,698.5,41.53,20.91,2.9,0.0
20190414:1610,35344000.0,450.1,30.49,20.75,2.9,0.0
20190414:1710,15702000.0,235.72,18.91,20.55,2.76,0.0
