time,P,G(i),H_sun,T2m,WS10m,Int
20190722:2310,0.0,0.0,0.0,28.34,1.93,0.0
20190723:0010,0.0,0.0,0.0,27.47,2.14,0.0
20190723:0110,0.0,0.0,0.0,26.54,2.0,0.0
20190723:0210,0.0,0.0,0.0,25.47,1.66,0.0
20190723:0310,0.0,0.0,0.0,24.29,1.24,0.0
20190723:0410,0.0,0.0,0.0,23.53,1.17,0.0
20190723:0510,0.0,0.0,0.0,22.82,1.24,0.0
20190723:0610,2670000.0,52.77,10.04,23.04,0.97,0.0
20190723:0710,15922000.0,237.6,21.42,26.09,0.97,0.0
20190723:0810,33722000.0,451.76,33.08,28.44,1.24,0.0
20190723:0910,49163000.0,661.01,44.73,30.48,1.38,0.0
20190723:1010,61300000.0,839.17,55.94,32.34,1.93,0.0
20190723:1110,67251000.0,933.03,65.69,34.13,2.48,0.0
20190723:1210,69256000.0,967.21,71.22,35.46,2.83,0.0
20190723:1310,69149000.0,964.14,68.8,36.22,3.1,0.0
20190723:1410,62967000.0,852.55,60.34,35.17,4.28,0.0
20190723:1510,51596000.0,693.07,49.55,33.99,3.31,0.0
20190723:1610,34238000.0,469.02,38.01,34.01,1.72,0.0
20190723:1710,17456000.0,254.78,26.32,33.45,3.24,0.0
20190723:1810,5706000.0,95.52,14.79,32.03,2.9,0.0
20190723:1910,0.0,2.62,3.7,32.2,2.21,0.0
20190723:2010,0.0,0.0,0.0,30.58,1.93,0.0
20190723:2110,0.0,0.0,0.0,29.33,1.52,0.0
20190723:2210,0.0,0.0,0.0,28.07,1.31,0.0
20190723:2310,0.0,0.0,0.0,27.31,0.76,0.0
20190724:0010,0.0,0.0,0.0,27.06,0.62,0.0
20190724:0110,0.0,0.0,0.0,25.7,1.17,0.0
20190724:0210,0.0,0.0,0.0,24.53,1.52,0.0
20190724:0310,0.0,0.0,0.0,23.84,1.38,0.0
20190724:0410,0.0,0.0,0.0,23.13,1.31,0.0
20190724:0510,0.0,0.0,0.0,22.41,1.31,0.0
20190724:0610,2463000.0,50.07,9.91,22.45,1.24,0.0
